Date,Open,High,Low,Close,Adj Close,Volume
2012-06-29,18996.570313,19510.769531,18991.099609,19441.460938,19441.460938,2039720800
2012-07-03,19441.460938,19765.410156,19441.460938,19735.529297,19735.529297,1532735700
2012-07-04,19833.839844,19835.130859,19677.449219,19709.750000,19709.750000,1402212000
2012-07-05,19757.419922,19869.109375,19588.630859,19809.130859,19809.130859,1268796100
2012-07-06,19752.830078,19839.119141,19690.640625,19800.640625,19800.640625,1763031600
2012-07-09,19634.839844,19737.919922,19421.750000,19428.089844,19428.089844,1440446900
2012-07-10,19504.419922,19515.890625,19347.230469,19396.359375,19396.359375,1179214100
2012-07-11,19264.580078,19441.119141,19233.759766,19419.869141,19419.869141,1642334000
2012-07-12,19356.789063,19356.789063,18998.300781,19025.109375,19025.109375,2017688200
2012-07-13,19069.359375,19160.490234,19032.589844,19092.630859,19092.630859,1267621700
2012-07-16,19265.339844,19265.339844,19061.669922,19121.339844,19121.339844,1095972800
2012-07-17,19156.960938,19479.279297,19156.960938,19455.330078,19455.330078,1396005600
2012-07-18,19452.240234,19452.240234,19134.570313,19239.880859,19239.880859,1169099100
2012-07-19,19393.449219,19600.320313,19393.449219,19559.050781,19559.050781,1693489600
2012-07-20,19613.779297,19656.109375,19511.900391,19640.800781,19640.800781,1298960700
2012-07-23,19259.359375,19259.359375,18986.199219,19053.470703,19053.470703,1256215800
2012-07-24,19078.140625,19124.960938,18854.320313,18903.199219,18903.199219,929872600
2012-07-25,18762.199219,18925.660156,18710.589844,18877.330078,18877.330078,1332514400
2012-07-26,18870.330078,18961.580078,18793.150391,18892.789063,18892.789063,1112498900
2012-07-27,19165.029297,19330.689453,19162.529297,19274.960938,19274.960938,1570697800
2012-07-30,19505.029297,19593.619141,19478.699219,19585.400391,19585.400391,1452095200
2012-07-31,19661.410156,19840.160156,19618.570313,19796.810547,19796.810547,1856288400
2012-08-01,19646.960938,19898.919922,19646.960938,19820.380859,19820.380859,1798568800
2012-08-02,19784.150391,19786.710938,19651.759766,19690.199219,19690.199219,1229663600
2012-08-03,19553.789063,19673.699219,19454.330078,19666.179688,19666.179688,1153392500
2012-08-06,20052.500000,20091.300781,19978.650391,19998.720703,19998.720703,1437034800
